inputs ClimbRate, Sgz, P, Q, CurPitch, CurRoll, AbsRoll, DiffClb, DiffRollRate, DiffDiffClb, SeTime1, SeTime2, SeTime3, SeTime4, SeTime5, SeTime6, SeTime7, SeTime8, SeTime9, SeTime10, SeTime11, SeTime12, SeTime13, SeTime14, DiffSeTime1, DiffSeTime2, DiffSeTime3, DiffSeTime4, DiffSeTime5, DiffSeTime6, DiffSeTime7, DiffSeTime8, DiffSeTime9, DiffSeTime10, DiffSeTime11, DiffSeTime12, DiffSeTime13, DiffSeTime14, Alpha, Se, Goal
-195,-26,-0.13,0.27,1.49,-0.1,-20,-3,-0.012,-0.3,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.046,-0.0022
268,-35,-0.06,0.1,0.28,-1.5,-20,9,0.013,-0.2,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.5,0.019,-0.0012
-73,-8,0.05,0.09,0.84,0.2,-14,-2,-0.013,-0.1,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.027,-0.0011
-74,-40,-0.94,-0.08,0.61,-0.4,-18,-11,0.01,4.9,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.001,0,0,0,-0.001,0,-0.001,0,-0.001,0,0,0,-0.002,0,0.6,0.018,-7.00E-04
45,-15,-0.1,0.12,0.49,0.1,-6,-13,-0.012,0,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019,-6.00E-04
-102,-6,0.34,0.11,0.65,0.6,-10,-5,-0.002,-0.6,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-0.0011
102,-37,0.2,0.15,0.68,0.3,-17,-2,-0.008,-0.2,0.027,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.029,-0.0014
-203,-42,-0.15,0.05,0.67,-0.5,-13,8,-0.01,-0.7,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-6.00E-04
361,-5,0.28,0.13,0.24,0.4,-11,-9,-0.011,-0.1,0.021,0.021,0.021,0.021,0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.6,0.02,-0.0011
173,-34,0.57,-0.11,0.41,0.3,-14,19,-0.003,-0.9,0.022,0.021,0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-0.0011
-57,-39,0.11,0.24,1.15,0.3,-20,-2,-0.022,-0.2,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.04,-0.0023
23,-31,0.22,0.25,0.56,0.9,-9,-15,-0.02,-1,0.021,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.022,-9.00E-04
-295,-16,0.12,0.01,0.8,-0.7,-12,5,0.011,0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019,-8.00E-04
4,-4,-0.25,0.08,0.51,-1.9,-20,9,0.02,0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-0.001
51,-6,-0.41,0.08,0.5,0.9,-7,-8,-0.019,0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019,-8.00E-04
75,-32,0.27,-0.09,0.41,0.4,-6,10,-0.005,-0.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0,0,0,0,-0.001,0,-0.001,0,0.001,0,0,0,0,0,0.5,0.016,-7.00E-04
-77,-61,0.4,0.08,0.69,-0.6,-19,13,0.013,-1,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.022,-0.0016
122,-51,0.04,-0.02,0.39,0.7,-11,7,-0.009,-0.1,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-0.0011
-282,-13,-0.7,0.24,1.56,-0.5,-21,3,0.042,0.6,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.046,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,0,1.2,0.046,-0.0011
-117,-20,0.35,0.08,0.63,1.4,-15,1,-0.013,0.3,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019,-0.0015
1,15,-0.02,0.02,0.51,0,-13,4,0.013,-0.2,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-9.00E-04
-438,66,0.15,0.1,0.99,-0.5,-6,-20,0,0.6,0.02,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.021,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,0,0.6,0.021,-6.00E-04
543,-5,0.14,0.29,0.19,0.5,-13,2,-0.002,-3.5,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.7,0.028,-0.0014
-33,-42,-0.16,0,0.54,-0.4,-10,4,-0.002,0,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-7.00E-04
-43,-12,-0.02,0.21,0.6,-0.6,-13,-3,0.005,-2.9,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-9.00E-04
210,1,0.25,-0.01,0.3,0.4,-7,2,0.003,-0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.5,0.017,-6.00E-04
73,-15,0.22,-0.05,0.41,-1.2,-13,13,0.019,-0.2,0.019,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-8.00E-04
-205,-17,0.26,-0.02,0.68,-0.8,-11,6,0.015,-0.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-8.00E-04
158,-53,-0.06,-0.05,0.32,-1.6,-8,4,0.003,1.1,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0,0,0,0,-0.001,0,-0.001,0,-0.001,0,-0.002,0,0,0,0.5,0.016,-2.00E-04
88,29,0.38,0.15,0.49,0.4,-13,-11,-0.009,0.3,0.02,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.021,-0.0011
174,-7,0.14,-0.04,0.33,-1,-12,10,0.027,-0.2,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.5,0.017,-6.00E-04
188,-8,-0.12,0.08,0.39,1.7,-10,-7,-0.021,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-7.00E-04
-129,19,0.52,0.03,0.74,0.5,-10,-9,-0.015,1,0.021,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.022,-0.0011
-9,25,0.16,0.22,0.6,0.6,-13,-17,-0.043,0.4,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.6,0.022,-0.0014
-295,27,0.32,0.18,0.97,1.4,-18,-4,-0.012,-0.6,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.025,-0.0017
-71,-14,-0.58,0.02,0.6,0.1,-10,8,-0.018,-0.9,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.019,0.019,0.019,0,0,0,0,0,0,-0.001,0,-0.001,0,0.002,0,-0.001,0,0.5,0.019,-4.00E-04
194,-15,0.46,-0.02,0.32,0.9,-5,1,-0.007,-0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.017,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0.5,0.017,-6.00E-04
-35,-3,0.17,0.1,0.54,-1.3,-16,7,0.006,-1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-0.001
135,1,-0.48,0.19,0.48,-0.3,-20,-2,0.003,0.6,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.022,-0.0011
41,-16,0.41,0.03,0.47,0.5,-10,1,-0.002,-0.1,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-8.00E-04
206,-22,-1.03,0.23,0.72,0.7,-14,-10,0.015,-1.5,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0,0,0,0,0,0,0,0,0,-0.001,0,-0.001,0,0.001,1,0.033,-8.00E-04
-64,-21,-0.21,0.08,0.72,0.2,-7,-7,-0.009,0,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.023,-7.00E-04
488,-31,0.11,-0.01,0.05,-0.8,-12,6,0.021,0.2,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-5.00E-04
390,-16,0.15,0.12,0.19,-0.2,-13,-5,-0.021,-1.2,0.021,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019,-8.00E-04
90,3,0.1,-0.05,0.36,0.6,-6,6,-0.002,-0.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.015,0.015,0.015,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.4,0.015,-7.00E-04
-44,2,-0.49,0.11,0.67,-1.5,-20,5,0.007,0.3,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,-0.001,0,-0.001,0,-0.001,0,0.6,0.022,-8.00E-04
-170,-5,-0.11,0.17,1.25,-0.6,-13,-7,-0.001,-0.2,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.038,-0.0012
-46,-17,0.33,0.08,0.62,0,-13,-1,0.019,-0.2,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0,0,0,0,-0.002,0,0,0,0,0,0,0,0,0,0.6,0.021,-0.0012
164,-29,-0.21,0.07,0.37,1.6,-17,7,-0.015,0,0.02,0.02,0.02,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-0.0013
-254,-3,0.34,0.12,0.8,0.3,-6,-14,-0.002,0.2,0.017,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.003,0,-0.002,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-4.00E-04
95,-28,-0.02,0.3,1.07,1.7,-8,-8,-0.024,-2.7,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.043,-0.0015
20,-41,0.49,-0.01,0.49,-0.8,-12,6,0.004,0.1,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-8.00E-04
-105,-10,-0.13,0.04,0.6,0.4,-7,-4,-0.009,0,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-6.00E-04
-274,-5,0.2,0.03,0.78,1.1,-6,-5,-0.013,0.2,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019,-6.00E-04
-698,-23,-0.29,-0.07,1.11,0.6,-7,11,-0.002,-0.2,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,-0.002,0,0,0,0,0,0,0,0.5,0.017,-5.00E-04
56,-36,-0.37,0.04,0.46,0.4,-7,-3,-0.013,-0.4,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,-0.001,0,0.001,0,-0.001,0,0,0,0,0,0,0,0.5,0.018,-4.00E-04
-282,-32,0.24,-0.16,0.67,-1.4,-11,27,0.003,-0.6,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.014,0.014,0.014,0.001,0,0,0,0,0,0,0,-0.001,0,0.001,0,0,0,0.4,0.014,-5.00E-04
-47,-86,0.19,-0.07,0.55,1.2,-10,9,-0.015,0.3,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-0.001
-228,-30,0.3,0,0.75,0.4,-7,-8,-0.003,0.5,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,0,0.6,0.018,-7.00E-04
99,23,0.25,0.11,0.46,-1.7,-12,-7,0.007,0.3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-8.00E-04
-299,49,0.11,0.28,0.89,0,-11,-24,-0.014,-0.3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.022,0.023,0,0,0,0,0,0,0,0,0,0,-0.003,0,-0.002,0,0.6,0.023,-9.00E-04
-232,-6,-0.45,-0.02,0.7,2,-13,9,-0.022,-0.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-7.00E-04
-138,-28,0.37,-0.04,0.66,1,-5,5,-0.006,-0.7,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,-0.002,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-6.00E-04
-69,-3,0.33,0.12,0.6,0.5,-15,-4,-0.002,-0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.02,-0.0011
-182,2,0.36,-0.02,1.11,0.2,-19,14,0.008,1.8,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.034,-0.002
418,-28,-0.01,0.16,0.76,-0.6,-19,4,0.007,-0.2,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.047,-0.0019
-202,-43,0.11,0.08,0.7,1.9,-4,-8,-0.013,-0.4,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019,-5.00E-04
-300,-25,-0.35,-0.02,0.75,0.5,-6,2,-0.008,0.1,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,-0.001,0,0,0,0,0,0,0,0,0,-0.002,0,0,0,0.5,0.017,-4.00E-04
128,-34,-0.1,0.07,0.42,-2.7,-21,15,0.051,-0.6,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0,0,0,0,0,0,-0.001,0,0,0,-0.001,0,0,0,0.5,0.019,-0.0011
-688,-8,-0.29,-0.02,1.22,0.4,-8,3,-0.003,-0.3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-4.00E-04
-284,7,0.13,0.11,0.81,0.6,-12,-6,-0.015,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-9.00E-04
-304,-18,0.39,0.25,1.24,-0.7,-13,-17,-0.007,-0.2,0.031,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.033,-0.0013
-289,-23,0.25,0.32,0.91,0.3,-19,-24,-0.027,0.8,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.022,0.022,0.024,0,0,0,0,0,0,0,0,-0.002,0,-0.002,0,-0.003,0,0.7,0.024,-0.0015
-180,-44,-0.22,-0.04,0.66,-0.4,-10,8,-0.008,0,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-4.00E-04
-38,-18,0.02,-0.11,1.3,0.1,-7,11,-0.008,-0.3,0.045,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.044,-0.0011
225,51,0.39,0.29,0.55,0.3,-6,-15,0.005,-3.8,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.8,0.027,-6.00E-04
64,-59,-0.12,-0.06,0.78,0.3,-9,8,0.008,-0.3,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.029,-9.00E-04
